DBA Name,License #,bus_id,cust_rating,price_rating
TEZCAL RESTAURANT,2626654,E1_j4fzxLMq_afk87RaTYw,5.0,
MOONLIGHT VULTURE,2432899,PSMwDo7LFTAgGj4hOIX4Gw,4.5,1.0
MARIO'S TABLE,38456,UbGuOTthP3iS6_nB5mDHDQ,4.0,2.0
BULLDOG ALE HOUSE,2463973,3ROYyggfgyTUFvvJzc_gzg,3.5,2.0
THAI PASTRY RESTAURANT,2263388,idctZZL3KA8MUfz-QjGG6w,4.0,2.0
GRACE AFRICAN RESTAURANT,1620462,h5WZDw4Ctm90e_UgebEpAw,3.0,2.0
INTELLIGENTSIA,2232034,,,
ELLIOTT'S SEAFOOD AND CHOP HOUSE GRILL,44501,EpNQZrIIQPO3WV34TSuceQ,4.0,3.0
SARPINO'S PIZZERIA,2098744,Xe8rZcPu0YpV2aEF4YsOhQ,2.0,2.0
BRAZILIAN BOWL FRESH GRILL,2437092,_-toZK3WpdvKpXYjT8wTCg,4.0,2.0
HOST INTERNATIONAL INC,34150,,,
EL FOGON DE ELENA RESTAURANT,2712646,,,
EL CAMPESTRE #2,1878766,m19yqoa23qI9omszFHPLcQ,3.5,1.0
